Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**",C_0504_1310Metric,9,C_0504_1310Metric,
2,REF**,ESP32-S2-MINI-1U,1,ESP32-S2-MINI-1U,
3,"REF**,REF**,REF**,REF**",CP_Elec_3x5.4,4,CP_Elec_3x5.4,
4,REF**,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,
